,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
29441,25200,0,B44-SBS,NOSTRAND AV/AV U,40.600947999999995,-73.941895,SBS FLUSHING AV via NOSTRAND via ROGERS,40.698883,-73.956917,NYCT_5351,-449.0,116.0,NOSTRAND AV/KINGS HY,at stop,10.0,2017-08-01 07:02:25,06:49:20
31908,25800,0,B44-SBS,NOSTRAND AV/AV U,40.600947999999995,-73.941895,SBS FLUSHING AV via NOSTRAND via ROGERS,40.698883,-73.956917,NYCT_5351,-317.0,91.0,ROGERS AV/CHURCH AV,0.6 miles away,923.0,2017-08-01 07:13:51,07:03:22
34525,26400,0,B44-SBS,NOSTRAND AV/AV U,40.600947999999995,-73.941895,SBS FLUSHING AV via NOSTRAND via ROGERS,40.698883,-73.956917,NYCT_5351,-158.0,87.0,BEDFORD AV/FULTON ST,< 1 stop away,632.0,2017-08-01 07:24:30,07:15:37
40197,27600,1,B44-SBS,LEE AV/FLUSHING AV,40.699505,-73.953484,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,40.585423,-73.931503,NYCT_5351,-122.0,97.0,NOSTRAND AV/FULTON ST,< 1 stop away,309.0,2017-08-01 07:43:54,07:43:35
43215,28200,1,B44-SBS,LEE AV/FLUSHING AV,40.699505,-73.953484,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,40.585423,-73.931503,NYCT_5351,-187.0,95.0,NOSTRAND AV/EMPIRE BL,< 1 stop away,659.0,2017-08-01 07:53:45,07:51:35
46277,28800,1,B44-SBS,LEE AV/FLUSHING AV,40.699505,-73.953484,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,40.585423,-73.931503,NYCT_5351,-315.0,102.0,NOSTRAND AV/NEWKIRK AV,< 1 stop away,345.0,2017-08-01 08:03:22,08:02:55
49364,29400,1,B44-SBS,LEE AV/FLUSHING AV,40.699505,-73.953484,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,40.585423,-73.931503,NYCT_5351,-406.0,110.0,NOSTRAND AV/AV L,< 1 stop away,320.0,2017-08-01 08:13:00,08:10:51
52449,30000,1,B44-SBS,LEE AV/FLUSHING AV,40.699505,-73.953484,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,40.585423,-73.931503,NYCT_5351,-532.0,128.0,NOSTRAND AV/AV X,< 1 stop away,554.0,2017-08-01 08:24:21,08:21:14
55476,30600,1,B44-SBS,LEE AV/FLUSHING AV,40.699505,-73.953484,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,40.585423,-73.931503,NYCT_5351,-595.0,161.0,SHORE PKWY/KNAPP ST,approaching,100.0,2017-08-01 08:31:51,08:26:00
58470,31200,1,B44-SBS,LEE AV/FLUSHING AV,40.699505,-73.953484,SBS SHEEPSHEAD BAY KNAPP ST via NOSTRAND,40.585423,-73.931503,NYCT_5351,-596.0,163.0,SHORE PKWY/KNAPP ST,approaching,50.0,2017-08-01 08:42:33,08:26:00
